grain,"liquid per 1 cup (250ml) grain","electric pressure cooker (9-10psi/70kpa)","electric pressure cooker (11-12psi/80kpa)","stovetop pressure cooker (13-15psi/100kpa)","pressure selection","opening method"
Amaranth,2 cups (500 ml),8,8,8,High,Natural
"Barley, flakes",4 1/2 cups (1125 ml),9,9,9,High,Natural
"Barley, pearl",2 cups (500 ml),22,20,18,High,10-Min. Natural
"Barley, whole",2 1/4 cups (560 ml),40,35,30,High,10-Min. Natural
Bread,see instructions,,,,High,Normal
Buckwheat,2 cups (500 ml),3,3,3,High,10-Min. Natural
Bulgur,3 cups (750 ml),12,10,8,High,10-Min. Natural
"Corn Meal 
(see Polenta or Hominy)",,,,,,
Farro (semi-perlated),2 1/2 cups (625 ml),10,10,10,High,Normal
Hominy (dry un-soaked),6 cups (1.5l),280 (4.5 hours),240 (4 hours),180 (3 hours),High,Natural
Hominy (soaked),4 cups (1l),30,25,20,High,Natural
"Kamut, whole",3 cups (750ml),40,35,30,High,Natural
"Kamut, whole (soaked)",2 cups (500 ml),20,18,15,High,Natural
Masa Harina,see instructions,,,,High,10-Min. Natural
Millet,1 1/2 cups (375 ml),1,1,1,High,10-Min. Natural
Pasta,see instructions,,,,Low,Normal
"Polenta, Coarse",4 cups (1l),8,8,8,High,Slow Normal
"Polenta, Fine (not instant)",3 cups (750 ml),5,5,5,High,Slow Normal
Quinoa,1 1/2 cups (375 ml),1,1,1,High,Natural
Semolina,3 cups (750 ml),6,6,4,Low,Slow Normal
Sorghum,1 3/4 cups (415 ml),20,15,13,Low,10-Min. Natural
"Spelt berries 
(see Farro)",,,,,,
"Tamales
(see Masa Harina)",,,,,,
Wheat berries,3 cups (750 ml),50,40,30,High,Natural
