seafood,"electric pressure cooker (9-10psi/70kpa)","electric pressure cooker (11-12psi/80kpa)","stovetop pressure cooker (13-15psi/100kpa)","pressure selection","opening method"
Calamari,20,18,15,High,Normal
Carp,6,6,4,High,Normal
"Clams, canned/jarred",add after pressure cooking,,,,Normal
"Clams, fresh",5,5,4,High,Normal
Cod,3,3,3,Low,Normal
Crab,3,3,2,Low,Normal
Eel,12,10,8,High,Normal
Fish fillet,3,3,2,Low,Normal
Fish soup or stock,6,6,5,High,Normal
Fish steak,4,4,3,High,Normal
"Fish, mixed pieces (for fish soup)",8,8,6,Low,Normal
"Fish, whole, gutted",6,6,5,Low,Normal
"Fish, in packet (Al Cartoccio)",15,15,12,High,Normal
Frog's Legs,8,8,8,High,Normal
Haddock,7,7,6,Low,Normal
Halibut,7,7,6,Low,Normal
"Lobster, 2 lb (1k)",3,3,2,Low,Normal
Mussels,1,1,1,Low,Normal
Ocean Perch,7,7,6,Low,Normal
Octopus,22,20,15,High,"Normal, Natural"
Oysters,6,6,4,Low,Normal
Perch,6,6,4,Low,Normal
"Prawns 
(see Shrimp)",,,,,
Salmon,6,6,5,Low,Normal
Scallop,1,1,1,High,Normal
Scampi,2,2,1,Low,Normal
Shrimp,2,2,1,Low,Normal
Squid,4,4,2,High,"Normal, Natural"
Trout,12,12,8,Low,Normal
